iter	Passed	Remaining
0	136	135893
1	142	71247
2	149	49785
3	158	39438
4	164	32660
5	169	28070
6	175	24959
7	179	22262
8	183	20205
9	186	18480
10	190	17097
11	192	15878
12	198	15063
13	202	14251
14	208	13670
15	214	13200
16	217	12599
17	222	12118
18	225	11627
19	229	11254
20	233	10863
21	236	10531
22	239	10186
23	243	9905
24	246	9625
25	250	9366
26	253	9153
27	256	8916
28	260	8723
29	263	8510
30	267	8367
31	270	8182
32	274	8031
33	276	7862
34	280	7721
35	282	7562
36	285	7428
37	287	7283
38	290	7155
39	293	7033
40	297	6953
41	300	6851
42	303	6755
43	306	6654
44	309	6575
45	313	6497
46	316	6415
47	319	6344
48	323	6274
49	327	6214
50	330	6142
51	333	6080
52	336	6012
53	340	5960
54	343	5900
55	346	5848
56	350	5793
57	353	5741
58	356	5691
59	360	5651
60	363	5597
61	367	5552
62	370	5509
63	374	5472
64	378	5442
65	381	5405
66	385	5369
67	389	5334
68	392	5295
69	394	5246
70	399	5223
71	402	5182
72	405	5154
73	408	5115
74	412	5084
75	415	5048
76	418	5011
77	421	4984
78	424	4952
79	429	4939
80	432	4905
81	435	4878
82	438	4847
83	441	4816
84	445	4793
85	448	4764
86	452	4747
87	455	4718
88	459	4705
89	462	4679
90	467	4667
91	470	4642
92	474	4629
93	478	4608
94	482	4593
95	485	4574
96	491	4574
97	496	4569
98	500	4550
99	507	4564
100	512	4558
101	516	4545
102	522	4546
103	527	4547
104	531	4532
105	536	4527
106	540	4511
107	544	4493
108	547	4475
109	551	4464
110	555	4448
111	559	4434
112	562	4414
113	565	4397
114	569	4379
115	573	4369
116	576	4351
117	580	4339
118	583	4320
119	587	4305
120	590	4287
121	593	4274
122	597	4261
123	602	4258
124	605	4241
125	610	4236
126	614	4222
127	617	4208
128	621	4194
129	623	4173
130	626	4157
131	630	4147
132	634	4133
133	637	4119
134	641	4107
135	643	4089
136	647	4078
137	650	4061
138	653	4051
139	656	4035
140	660	4021
141	663	4007
142	666	3991
143	669	3978
144	672	3963
145	675	3949
146	678	3936
147	681	3922
148	684	3910
149	687	3896
150	690	3884
151	694	3873
152	697	3858
153	700	3847
154	703	3833
155	706	3821
156	709	3811
157	713	3799
158	716	3788
159	719	3775
160	722	3766
161	725	3753
162	729	3747
163	733	3736
164	736	3725
165	739	3714
166	742	3702
167	745	3692
168	748	3680
169	751	3669
170	755	3661
171	757	3648
172	761	3640
173	764	3628
174	768	3624
175	772	3617
176	776	3610
177	779	3601
178	783	3592
179	786	3583
180	789	3572
181	794	3570
182	797	3558
183	801	3553
184	804	3543
185	808	3536
186	811	3528
187	815	3524
188	819	3514
189	823	3509
190	825	3498
191	829	3491
192	832	3481
193	836	3474
194	839	3466
195	842	3457
196	846	3450
197	849	3441
198	853	3434
199	857	3428
200	862	3428
201	865	3421
202	869	3414
203	872	3405
204	876	3400
205	879	3391
206	883	3386
207	887	3378
208	892	3375
209	895	3367
210	900	3367
211	904	3362
212	908	3355
213	911	3349
214	915	3343
215	917	3330
216	921	3325
217	925	3318
218	929	3313
219	932	3306
220	936	3302
221	940	3295
222	945	3292
223	948	3285
224	954	3286
225	957	3278
226	961	3275
227	965	3269
228	969	3263
229	973	3258
230	977	3253
231	982	3251
232	985	3243
233	989	3239
234	993	3233
235	998	3231
236	1001	3223
237	1004	3217
238	1007	3209
239	1010	3201
240	1014	3194
241	1017	3187
242	1021	3181
243	1024	3173
244	1028	3168
245	1031	3161
246	1035	3155
247	1038	3148
248	1042	3143
249	1045	3136
250	1049	3132
251	1053	3127
252	1058	3124
253	1062	3120
254	1066	3117
255	1070	3109
256	1073	3103
257	1075	3094
258	1079	3087
259	1082	3080
260	1085	3073
261	1089	3068
262	1092	3062
263	1097	3058
264	1099	3050
265	1103	3045
266	1106	3037
267	1109	3029
268	1112	3023
269	1115	3015
270	1119	3011
271	1122	3003
272	1126	2999
273	1129	2992
274	1132	2985
275	1136	2980
276	1139	2973
277	1142	2967
278	1145	2961
279	1149	2955
280	1151	2947
281	1155	2941
282	1158	2935
283	1161	2928
284	1164	2922
285	1167	2914
286	1170	2908
287	1173	2901
288	1176	2895
289	1180	2891
290	1184	2884
291	1188	2880
292	1191	2875
293	1195	2871
294	1198	2865
295	1202	2861
296	1206	2855
297	1210	2850
298	1213	2844
299	1216	2838
300	1220	2833
301	1222	2826
302	1226	2821
303	1229	2815
304	1233	2810
305	1236	2804
306	1239	2798
307	1243	2793
308	1246	2786
309	1250	2783
310	1253	2777
311	1257	2772
312	1260	2766
313	1263	2761
314	1267	2755
315	1270	2750
316	1274	2745
317	1278	2741
318	1281	2735
319	1284	2729
320	1287	2723
321	1290	2717
322	1295	2714
323	1298	2710
324	1302	2705
325	1305	2700
326	1310	2697
327	1313	2691
328	1317	2687
329	1321	2682
330	1325	2678
331	1328	2672
332	1332	2669
333	1335	2663
334	1339	2658
335	1342	2653
336	1345	2647
337	1349	2643
338	1352	2637
339	1356	2633
340	1359	2627
341	1363	2623
342	1366	2618
343	1370	2614
344	1373	2607
345	1377	2602
346	1380	2597
347	1384	2593
348	1386	2587
349	1389	2581
350	1393	2577
351	1397	2571
352	1401	2568
353	1404	2563
354	1408	2559
355	1411	2553
356	1415	2549
357	1418	2544
358	1423	2540
359	1426	2535
360	1429	2530
361	1432	2525
362	1437	2522
363	1440	2516
364	1444	2512
365	1447	2507
366	1450	2502
367	1453	2496
368	1456	2491
369	1460	2487
370	1463	2481
371	1466	2476
372	1469	2470
373	1473	2465
374	1477	2461
375	1480	2456
376	1483	2452
377	1486	2446
378	1490	2442
379	1493	2437
380	1498	2433
381	1501	2429
382	1505	2424
383	1508	2420
384	1512	2415
385	1515	2410
386	1518	2405
387	1522	2402
388	1526	2397
389	1530	2393
390	1533	2388
391	1536	2383
392	1539	2378
393	1542	2372
394	1546	2368
395	1549	2362
396	1552	2358
397	1555	2352
398	1559	2349
399	1562	2343
400	1566	2339
401	1569	2334
402	1572	2329
403	1575	2324
404	1579	2319
405	1582	2315
406	1586	2311
407	1589	2305
408	1592	2300
409	1594	2295
410	1598	2290
411	1601	2285
412	1605	2281
413	1607	2275
414	1610	2270
415	1614	2266
416	1617	2261
417	1620	2256
418	1623	2251
419	1626	2246
420	1630	2242
421	1633	2236
422	1636	2232
423	1639	2227
424	1643	2223
425	1646	2218
426	1650	2215
427	1654	2210
428	1658	2206
429	1660	2201
430	1663	2196
431	1666	2191
432	1669	2186
433	1673	2182
434	1676	2177
435	1679	2172
436	1682	2167
437	1685	2163
438	1690	2159
439	1692	2154
440	1696	2150
441	1698	2144
442	1701	2139
443	1705	2135
444	1708	2130
445	1711	2126
446	1714	2121
447	1718	2117
448	1721	2112
449	1724	2107
450	1728	2103
451	1730	2098
452	1736	2096
453	1739	2091
454	1742	2087
455	1745	2082
456	1748	2077
457	1751	2073
458	1755	2069
459	1758	2064
460	1761	2059
461	1765	2055
462	1768	2051
463	1771	2046
464	1775	2042
465	1777	2037
466	1782	2034
467	1785	2029
468	1789	2025
469	1792	2020
470	1796	2017
471	1799	2012
472	1802	2008
473	1805	2003
474	1808	1998
475	1812	1995
476	1816	1992
477	1820	1988
478	1823	1983
479	1828	1980
480	1831	1975
481	1834	1971
482	1837	1967
483	1842	1963
484	1845	1959
485	1849	1956
486	1853	1952
487	1857	1948
488	1860	1944
489	1863	1939
490	1867	1936
491	1871	1931
492	1874	1927
493	1877	1923
494	1881	1919
495	1884	1914
496	1887	1910
497	1891	1906
498	1894	1902
499	1898	1898
500	1901	1893
501	1904	1889
502	1907	1884
503	1911	1881
504	1914	1876
505	1918	1873
506	1921	1868
507	1925	1864
508	1928	1860
509	1931	1855
510	1935	1851
511	1938	1847
512	1941	1843
513	1944	1838
514	1948	1835
515	1951	1830
516	1955	1826
517	1958	1822
518	1962	1819
519	1965	1814
520	1968	1810
521	1972	1806
522	1975	1801
523	1979	1797
524	1982	1793
525	1985	1789
526	1989	1785
527	1992	1780
528	1995	1776
529	1998	1772
530	2003	1769
531	2006	1764
532	2009	1760
533	2012	1756
534	2016	1752
535	2019	1748
536	2022	1743
537	2025	1739
538	2029	1735
539	2032	1731
540	2036	1727
541	2038	1722
542	2043	1719
543	2045	1714
544	2049	1711
545	2052	1706
546	2057	1704
547	2061	1700
548	2065	1696
549	2068	1692
550	2072	1688
551	2075	1684
552	2078	1680
553	2081	1675
554	2084	1671
555	2087	1667
556	2090	1662
557	2093	1658
558	2096	1654
559	2100	1650
560	2103	1645
561	2107	1642
562	2110	1638
563	2114	1634
564	2118	1630
565	2121	1626
566	2125	1623
567	2128	1618
568	2132	1615
569	2135	1611
570	2139	1607
571	2142	1603
572	2146	1599
573	2149	1595
574	2152	1590
575	2155	1586
576	2158	1582
577	2162	1579
578	2165	1574
579	2169	1570
580	2172	1566
581	2175	1562
582	2178	1558
583	2181	1554
584	2185	1550
585	2188	1546
586	2192	1542
587	2195	1538
588	2199	1535
589	2202	1530
590	2206	1527
591	2210	1523
592	2213	1519
593	2217	1515
594	2220	1511
595	2224	1508
596	2227	1503
597	2232	1500
598	2234	1496
599	2238	1492
600	2241	1488
601	2245	1484
602	2249	1480
603	2253	1477
604	2256	1473
605	2258	1468
606	2262	1465
607	2265	1460
608	2270	1457
609	2273	1453
610	2277	1450
611	2280	1445
612	2284	1442
613	2287	1438
614	2291	1434
615	2294	1430
616	2297	1426
617	2301	1422
618	2304	1418
619	2308	1414
620	2311	1410
621	2316	1407
622	2318	1403
623	2322	1399
624	2325	1395
625	2330	1392
626	2333	1388
627	2337	1384
628	2340	1380
629	2344	1376
630	2347	1372
631	2350	1368
632	2354	1365
633	2357	1360
634	2361	1357
635	2364	1353
636	2368	1349
637	2371	1345
638	2375	1341
639	2379	1338
640	2382	1334
641	2385	1330
642	2388	1325
643	2391	1322
644	2394	1318
645	2398	1314
646	2401	1310
647	2405	1306
648	2409	1303
649	2412	1299
650	2417	1295
651	2420	1291
652	2424	1288
653	2427	1284
654	2431	1280
655	2435	1277
656	2439	1273
657	2443	1269
658	2446	1265
659	2449	1261
660	2453	1258
661	2456	1253
662	2459	1250
663	2462	1246
664	2465	1241
665	2468	1238
666	2471	1234
667	2476	1230
668	2479	1226
669	2484	1223
670	2487	1219
671	2491	1216
672	2494	1212
673	2498	1208
674	2501	1204
675	2504	1200
676	2507	1196
677	2510	1192
678	2514	1188
679	2517	1184
680	2521	1181
681	2523	1176
682	2526	1172
683	2530	1168
684	2533	1164
685	2536	1161
686	2539	1157
687	2542	1153
688	2546	1149
689	2549	1145
690	2553	1141
691	2556	1137
692	2560	1134
693	2563	1130
694	2566	1126
695	2569	1122
696	2573	1118
697	2576	1114
698	2579	1110
699	2584	1107
700	2587	1103
701	2591	1100
702	2594	1096
703	2598	1092
704	2602	1088
705	2605	1084
706	2608	1081
707	2611	1077
708	2615	1073
709	2617	1069
710	2621	1065
711	2624	1061
712	2628	1058
713	2631	1054
714	2635	1050
715	2638	1046
716	2641	1042
717	2644	1038
718	2647	1034
719	2651	1031
720	2655	1027
721	2658	1023
722	2662	1019
723	2665	1016
724	2669	1012
725	2672	1008
726	2676	1005
727	2679	1001
728	2683	997
729	2686	993
730	2690	989
731	2693	986
732	2697	982
733	2701	978
734	2704	975
735	2707	971
736	2711	967
737	2714	963
738	2717	959
739	2721	956
740	2725	952
741	2729	948
742	2732	945
743	2736	941
744	2740	937
745	2743	934
746	2746	930
747	2750	926
748	2753	922
749	2757	919
750	2760	915
751	2763	911
752	2768	908
753	2771	904
754	2776	900
755	2779	897
756	2784	893
757	2786	889
758	2790	886
759	2793	882
760	2797	878
761	2800	874
762	2804	871
763	2807	867
764	2812	864
765	2817	860
766	2822	857
767	2825	853
768	2828	849
769	2831	845
770	2835	842
771	2838	838
772	2842	834
773	2846	831
774	2849	827
775	2852	823
776	2856	819
777	2860	816
778	2863	812
779	2867	808
780	2870	804
781	2873	801
782	2877	797
783	2880	793
784	2884	789
785	2887	786
786	2890	782
787	2893	778
788	2897	774
789	2901	771
790	2905	767
791	2908	763
792	2911	760
793	2915	756
794	2919	752
795	2922	748
796	2925	745
797	2929	741
798	2931	737
799	2935	733
800	2939	730
801	2942	726
802	2945	722
803	2949	718
804	2952	715
805	2955	711
806	2959	707
807	2962	704
808	2966	700
809	2969	696
810	2973	693
811	2977	689
812	2981	685
813	2984	681
814	2989	678
815	2993	675
816	2997	671
817	3000	667
818	3004	663
819	3007	660
820	3009	656
821	3013	652
822	3016	648
823	3020	645
824	3023	641
825	3026	637
826	3030	633
827	3033	630
828	3036	626
829	3040	622
830	3044	619
831	3047	615
832	3050	611
833	3054	607
834	3057	604
835	3061	600
836	3065	596
837	3068	593
838	3072	589
839	3075	585
840	3077	581
841	3081	578
842	3085	574
843	3088	570
844	3091	567
845	3096	563
846	3099	559
847	3103	556
848	3107	552
849	3110	548
850	3113	545
851	3116	541
852	3120	537
853	3122	533
854	3126	530
855	3129	526
856	3133	522
857	3136	519
858	3140	515
859	3143	511
860	3146	508
861	3149	504
862	3152	500
863	3156	496
864	3159	493
865	3162	489
866	3165	485
867	3168	481
868	3171	478
869	3174	474
870	3178	470
871	3181	466
872	3184	463
873	3188	459
874	3191	455
875	3194	452
876	3198	448
877	3201	444
878	3205	441
879	3208	437
880	3212	433
881	3215	430
882	3218	426
883	3221	422
884	3224	419
885	3227	415
886	3230	411
887	3233	407
888	3236	404
889	3239	400
890	3242	396
891	3246	393
892	3249	389
893	3253	385
894	3258	382
895	3261	378
896	3264	374
897	3267	371
898	3271	367
899	3274	363
900	3277	360
901	3281	356
902	3283	352
903	3287	349
904	3290	345
905	3294	341
906	3297	338
907	3300	334
908	3303	330
909	3306	326
910	3309	323
911	3313	319
912	3316	316
913	3319	312
914	3323	308
915	3326	305
916	3329	301
917	3333	297
918	3336	294
919	3339	290
920	3343	286
921	3346	283
922	3349	279
923	3352	275
924	3356	272
925	3360	268
926	3363	264
927	3367	261
928	3371	257
929	3374	254
930	3378	250
931	3382	246
932	3385	243
933	3388	239
934	3391	235
935	3395	232
936	3399	228
937	3403	224
938	3406	221
939	3410	217
940	3414	214
941	3419	210
942	3423	206
943	3427	203
944	3431	199
945	3435	196
946	3439	192
947	3442	188
948	3446	185
949	3449	181
950	3453	177
951	3457	174
952	3462	170
953	3465	167
954	3470	163
955	3473	159
956	3478	156
957	3482	152
958	3486	149
959	3490	145
960	3493	141
961	3497	138
962	3500	134
963	3503	130
964	3506	127
965	3510	123
966	3513	119
967	3515	116
968	3518	112
969	3521	108
970	3524	105
971	3528	101
972	3531	97
973	3534	94
974	3537	90
975	3540	87
